X_min,X_max,Y_min,Y_max,Depth
1.640625,1.65625,1.578125,1.59375,8
1.625,1.640625,1.578125,1.59375,8
1.625,1.640625,1.5625,1.578125,8
1.640625,1.65625,1.5625,1.578125,8
1.65625,1.6875,1.5625,1.59375,7
1.625,1.6875,1.5,1.5625,6
1.6875,1.75,1.5,1.5625,6
1.875,2.0,1.625,1.75,5
1.8125,1.875,1.6875,1.75,6
1.796875,1.8125,1.734375,1.75,8
1.78125,1.796875,1.734375,1.75,8
1.78125,1.796875,1.71875,1.734375,8
1.796875,1.8125,1.71875,1.734375,8
1.765625,1.78125,1.734375,1.75,8
1.7578125,1.765625,1.7421875,1.75,9
1.75,1.7578125,1.7421875,1.75,9
1.75,1.7578125,1.734375,1.7421875,9
1.7578125,1.765625,1.734375,1.7421875,9
1.75,1.765625,1.71875,1.734375,8
1.765625,1.78125,1.71875,1.734375,8
1.765625,1.78125,1.703125,1.71875,8
1.75,1.765625,1.703125,1.71875,8
1.75,1.765625,1.6875,1.703125,8
1.765625,1.78125,1.6875,1.703125,8
1.78125,1.8125,1.6875,1.71875,7
1.75,1.8125,1.625,1.6875,6
1.8125,1.875,1.625,1.6875,6
1.75,1.875,1.5,1.625,5
1.875,2.0,1.5,1.625,5
1.375,1.5,1.875,2.0,5
1.25,1.375,1.875,2.0,5
1.25,1.375,1.75,1.875,5
1.375,1.5,1.75,1.875,5
1.125,1.25,1.875,2.0,5
1.0,1.125,1.875,2.0,5
1.0,1.125,1.75,1.875,5
1.125,1.25,1.75,1.875,5
1.125,1.25,1.625,1.75,5
1.0,1.125,1.625,1.75,5
1.0,1.125,1.5,1.625,5
1.125,1.25,1.5,1.625,5
1.375,1.5,1.625,1.75,5
1.25,1.375,1.625,1.75,5
1.25,1.375,1.5,1.625,5
1.4375,1.5,1.5625,1.625,6
1.375,1.4375,1.5625,1.625,6
1.375,1.4375,1.5,1.5625,6
1.484375,1.5,1.546875,1.5625,8
1.46875,1.484375,1.546875,1.5625,8
1.46875,1.484375,1.53125,1.546875,8
1.484375,1.5,1.53125,1.546875,8
1.4375,1.46875,1.53125,1.5625,7
1.453125,1.46875,1.515625,1.53125,8
1.4375,1.453125,1.515625,1.53125,8
1.4375,1.453125,1.5,1.515625,8
1.453125,1.46875,1.5,1.515625,8
1.4921875,1.5,1.5234375,1.53125,9
1.484375,1.4921875,1.5234375,1.53125,9
1.484375,1.4921875,1.515625,1.5234375,9
1.4921875,1.5,1.515625,1.5234375,9
1.46875,1.484375,1.515625,1.53125,8
1.4765625,1.484375,1.5078125,1.515625,9
1.46875,1.4765625,1.5078125,1.515625,9
1.46875,1.4765625,1.5,1.5078125,9
1.4765625,1.484375,1.5,1.5078125,9
1.49609375,1.5,1.51171875,1.515625,10
1.4921875,1.49609375,1.51171875,1.515625,10
1.4921875,1.49609375,1.5078125,1.51171875,10
1.49609375,1.5,1.5078125,1.51171875,10
1.484375,1.4921875,1.5078125,1.515625,9
1.484375,1.4921875,1.5,1.5078125,9
1.4921875,1.5,1.5,1.5078125,9
1.484375,1.5,1.484375,1.5,8
1.48046875,1.484375,1.49609375,1.5,10
1.4765625,1.48046875,1.49609375,1.5,10
1.4765625,1.48046875,1.4921875,1.49609375,10
1.48046875,1.484375,1.4921875,1.49609375,10
1.46875,1.4765625,1.4921875,1.5,9
1.46875,1.4765625,1.484375,1.4921875,9
1.4765625,1.484375,1.484375,1.4921875,9
1.46875,1.484375,1.46875,1.484375,8
1.49609375,1.5,1.48046875,1.484375,10
1.4921875,1.49609375,1.48046875,1.484375,10
1.4921875,1.49609375,1.4765625,1.48046875,10
1.49609375,1.5,1.4765625,1.48046875,10
1.484375,1.4921875,1.4765625,1.484375,9
1.484375,1.4921875,1.46875,1.4765625,9
1.4921875,1.5,1.46875,1.4765625,9
1.4609375,1.46875,1.4921875,1.5,9
1.453125,1.4609375,1.4921875,1.5,9
1.453125,1.4609375,1.484375,1.4921875,9
1.4609375,1.46875,1.484375,1.4921875,9
1.4375,1.453125,1.484375,1.5,8
1.4453125,1.453125,1.4765625,1.484375,9
1.4375,1.4453125,1.4765625,1.484375,9
1.4375,1.4453125,1.46875,1.4765625,9
1.4453125,1.453125,1.46875,1.4765625,9
1.46484375,1.46875,1.48046875,1.484375,10
1.4609375,1.46484375,1.48046875,1.484375,10
1.4609375,1.46484375,1.4765625,1.48046875,10
1.46484375,1.46875,1.4765625,1.48046875,10
1.453125,1.4609375,1.4765625,1.484375,9
1.453125,1.4609375,1.46875,1.4765625,9
1.4609375,1.46875,1.46875,1.4765625,9
1.453125,1.46875,1.453125,1.46875,8
1.44921875,1.453125,1.46484375,1.46875,10
1.4453125,1.44921875,1.46484375,1.46875,10
1.4453125,1.44921875,1.4609375,1.46484375,10
1.44921875,1.453125,1.4609375,1.46484375,10
1.4375,1.4453125,1.4609375,1.46875,9
1.4375,1.4453125,1.453125,1.4609375,9
1.4453125,1.453125,1.453125,1.4609375,9
1.4375,1.453125,1.4375,1.453125,8
1.46484375,1.46875,1.44921875,1.453125,10
1.4609375,1.46484375,1.44921875,1.453125,10
1.4609375,1.46484375,1.4453125,1.44921875,10
1.46484375,1.46875,1.4453125,1.44921875,10
1.453125,1.4609375,1.4453125,1.453125,9
1.453125,1.4609375,1.4375,1.4453125,9
1.4609375,1.46875,1.4375,1.4453125,9
1.4921875,1.5,1.4609375,1.46875,9
1.484375,1.4921875,1.4609375,1.46875,9
1.484375,1.4921875,1.453125,1.4609375,9
1.4921875,1.5,1.453125,1.4609375,9
1.48046875,1.484375,1.46484375,1.46875,10
1.4765625,1.48046875,1.46484375,1.46875,10
1.4765625,1.48046875,1.4609375,1.46484375,10
1.48046875,1.484375,1.4609375,1.46484375,10
1.46875,1.4765625,1.4609375,1.46875,9
1.46875,1.4765625,1.453125,1.4609375,9
1.4765625,1.484375,1.453125,1.4609375,9
1.4765625,1.484375,1.4453125,1.453125,9
1.46875,1.4765625,1.4453125,1.453125,9
1.46875,1.4765625,1.4375,1.4453125,9
1.4765625,1.484375,1.4375,1.4453125,9
1.484375,1.5,1.4375,1.453125,8
1.421875,1.4375,1.484375,1.5,8
1.40625,1.421875,1.484375,1.5,8
1.40625,1.421875,1.46875,1.484375,8
1.421875,1.4375,1.46875,1.484375,8
1.375,1.40625,1.46875,1.5,7
1.390625,1.40625,1.453125,1.46875,8
1.375,1.390625,1.453125,1.46875,8
1.375,1.390625,1.4375,1.453125,8
1.390625,1.40625,1.4375,1.453125,8
1.4296875,1.4375,1.4609375,1.46875,9
1.421875,1.4296875,1.4609375,1.46875,9
1.421875,1.4296875,1.453125,1.4609375,9
1.4296875,1.4375,1.453125,1.4609375,9
1.40625,1.421875,1.453125,1.46875,8
1.4140625,1.421875,1.4453125,1.453125,9
1.40625,1.4140625,1.4453125,1.453125,9
1.40625,1.4140625,1.4375,1.4453125,9
1.4140625,1.421875,1.4375,1.4453125,9
1.43359375,1.4375,1.44921875,1.453125,10
1.4296875,1.43359375,1.44921875,1.453125,10
1.4296875,1.43359375,1.4453125,1.44921875,10
1.43359375,1.4375,1.4453125,1.44921875,10
1.421875,1.4296875,1.4453125,1.453125,9
1.421875,1.4296875,1.4375,1.4453125,9
1.4296875,1.4375,1.4375,1.4453125,9
1.421875,1.4375,1.421875,1.4375,8
1.41796875,1.421875,1.43359375,1.4375,10
1.4140625,1.41796875,1.43359375,1.4375,10
1.4140625,1.41796875,1.4296875,1.43359375,10
1.41796875,1.421875,1.4296875,1.43359375,10
1.40625,1.4140625,1.4296875,1.4375,9
1.40625,1.4140625,1.421875,1.4296875,9
1.4140625,1.421875,1.421875,1.4296875,9
1.40625,1.421875,1.40625,1.421875,8
1.43359375,1.4375,1.41796875,1.421875,10
1.4296875,1.43359375,1.41796875,1.421875,10
1.4296875,1.43359375,1.4140625,1.41796875,10
1.43359375,1.4375,1.4140625,1.41796875,10
1.421875,1.4296875,1.4140625,1.421875,9
1.421875,1.4296875,1.40625,1.4140625,9
1.4296875,1.4375,1.40625,1.4140625,9
1.3984375,1.40625,1.4296875,1.4375,9
1.390625,1.3984375,1.4296875,1.4375,9
1.390625,1.3984375,1.421875,1.4296875,9
1.3984375,1.40625,1.421875,1.4296875,9
1.375,1.390625,1.421875,1.4375,8
1.3828125,1.390625,1.4140625,1.421875,9
1.375,1.3828125,1.4140625,1.421875,9
1.375,1.3828125,1.40625,1.4140625,9
1.3828125,1.390625,1.40625,1.4140625,9
1.40234375,1.40625,1.41796875,1.421875,10
1.3984375,1.40234375,1.41796875,1.421875,10
1.3984375,1.40234375,1.4140625,1.41796875,10
1.40234375,1.40625,1.4140625,1.41796875,10
1.390625,1.3984375,1.4140625,1.421875,9
1.390625,1.3984375,1.40625,1.4140625,9
1.3984375,1.40625,1.40625,1.4140625,9
1.390625,1.40625,1.390625,1.40625,8
1.38671875,1.390625,1.40234375,1.40625,10
1.3828125,1.38671875,1.40234375,1.40625,10
1.3828125,1.38671875,1.3984375,1.40234375,10
1.38671875,1.390625,1.3984375,1.40234375,10
1.375,1.3828125,1.3984375,1.40625,9
1.375,1.3828125,1.390625,1.3984375,9
1.3828125,1.390625,1.390625,1.3984375,9
1.375,1.390625,1.375,1.390625,8
1.40234375,1.40625,1.38671875,1.390625,10
